"ProteinGroup","ProteinName","Genes","UniprotID"
"Q9HAS0","NJMU_HUMAN","C17orf75","Q9HAS0"
"O43854","EDIL3_HUMAN","EDIL3","O43854"
"Q10570","CPSF1_HUMAN","CPSF1","Q10570"
"Q92643","GPI8_HUMAN","PIGK","Q92643"
"P21730","C5AR1_HUMAN","C5AR1","P21730"
"P11362","FGFR1_HUMAN","FGFR1","P22607;P22455;P11362"
"Q9BUL9","RPP25_HUMAN","RPP25","Q9BUL9"
"A2RU49","HYKK_HUMAN","HYKK","A2RU49"
"O14925","TIM23_HUMAN","TIMM23","O14925"
"Q9NYL2","M3K20_HUMAN","MAP3K20","Q9NYL2"
"Q96ME1","FXL18_HUMAN","FBXL18","Q96ME1"
"Q9UNN5","FAF1_HUMAN","FAF1","Q9UNN5"
"Q9Y5U8","MPC1_HUMAN","MPC1","Q9Y5U8"
"P84077","ARF1_HUMAN","ARF1","P84077"
"P00739","HPTR_HUMAN","HPR","P00739"
"Q9BXW6","OSBL1_HUMAN","OSBPL1A","Q9BXW6"
"Q16540","RM23_HUMAN","MRPL23","Q16540"
"Q9Y6X6","MYO16_HUMAN","MYO16","Q9Y6X6"
"Q7L099;Q8WXA3;Q96T51","RUFY1_HUMAN;RUFY2_HUMAN;RUFY3_HUMAN","RUFY1;RUFY2;RUFY3","Q8WXA3;Q7L099;Q96T51"
"Q717R9","CYS1_HUMAN","CYS1","Q717R9"
"Q9HB63","NET4_HUMAN","NTN4","Q9HB63"
"Q8WW38","FOG2_HUMAN","ZFPM2","Q8WW38"
"O43707;P35609","ACTN2_HUMAN;ACTN4_HUMAN","ACTN2;ACTN4","P35609;Q08043;O43707"
"P01893;P04439;P10321;P13747;P17693;P30511","HLAA_HUMAN;HLAC_HUMAN;HLAE_HUMAN;HLAF_HUMAN;HLAG_HUMAN;HLAH_HUMAN","HLA-A;HLA-C;HLA-E;HLA-F;HLA-G;HLA-H","P04439;P10321;P13747;P17693;P30511;P01893"
"P25705","ATPA_HUMAN","ATP5F1A","P25705;B5Z8D2;B2UUP2;P55987;B6JMX4;Q9ZK79;Q1CSD3"
"Q6ZS27","ZN662_HUMAN","ZNF662","Q6ZS27"
"P05204;Q15651","HMGN2_HUMAN;HMGN3_HUMAN","HMGN2;HMGN3","P05204;Q15651"
"O95832","CLD1_HUMAN","CLDN1","O95832"
"Q9NRR4","RNC_HUMAN","DROSHA","Q9NRR4"
"Q96K49","TM87B_HUMAN","TMEM87B","Q96K49"
"P50225","ST1A1_HUMAN","SULT1A1","P50225;P50226;O75897"
"Q9P2P1","NYNRI_HUMAN","NYNRIN","Q9P2P1"
"P08670;P17661","DESM_HUMAN;VIME_HUMAN","DES;VIM","P08670;P17661"
"P07437;P68371;Q13885;Q9BVA1","TBB2A_HUMAN;TBB2B_HUMAN;TBB4B_HUMAN;TBB5_HUMAN","TUBB;TUBB2A;TUBB2B;TUBB4B","P04350;Q13885;P68371;Q9BVA1;P07437"
"A1KZ92","PXDNL_HUMAN","PXDNL","A1KZ92"
"Q9NR20","DYRK4_HUMAN","DYRK4","Q9NR20"
"A0A0A6YYL3;H3BUK9","POTB2_HUMAN;POTEB_HUMAN","POTEB;POTEB2","A0JP26;A0A0A6YYL3;H3BUK9"
"Q15835","GRK1_HUMAN","GRK1","Q15835"
"Q70CQ4","UBP31_HUMAN","USP31","Q70CQ4"
"Q9H3H9","TCAL2_HUMAN","TCEAL2","Q9H3H9"
"P63267","ACTH_HUMAN","ACTG2","P63267"
"Q9ZKM2","FTSZ_HELPJ","ftsZ","P56097;Q9ZKM2"
"P00558;P07205","PGK1_HUMAN;PGK2_HUMAN","PGK1;PGK2","P07205;P00558;RMISv2"
"Q15154","PCM1_HUMAN","PCM1","Q15154"
"P00326","ADH1G_HUMAN","ADH1C","P07327;P00326"
"Q68801","POLG_HCVJK","","Q68801"
"Q9C056","NKX62_HUMAN","NKX6-2","Q9C056"
"O43435","TBX1_HUMAN","TBX1","O43435"
"Q8NCW0","KREM2_HUMAN","KREMEN2","Q8NCW0"
"A8MPS7","YDJC_HUMAN","YDJC","A8MPS7"
"Q96MX0","CKLF3_HUMAN","CMTM3","Q96MX0"
"P01717;P01718","LV325_HUMAN;LV327_HUMAN","IGLV3-25;IGLV3-27","P01718;P01717"
"P80748","LV321_HUMAN","IGLV3-21","P80748"
"P01715","LV301_HUMAN","IGLV3-1","P01715"
"P55286","CADH8_HUMAN","CDH8","P55286"
"O60469","DSCAM_HUMAN","DSCAM","O60469"
"P48163;Q16798","MAON_HUMAN;MAOX_HUMAN","ME1;ME3","P48163;Q16798"
"Q9NYQ7","CELR3_HUMAN","CELSR3","Q9NYQ7"
"O95544","NADK_HUMAN","NADK","O95544"
"P32519","ELF1_HUMAN","ELF1","P32519"
"P07204","TRBM_HUMAN","THBD","P07204"
"Q6QHC5","DEGS2_HUMAN","DEGS2","Q6QHC5"
"Q16181;Q9UHD8","SEPT7_HUMAN;SEPT9_HUMAN","SEPTIN7;SEPTIN9","Q16181;Q9UHD8"
"Q9UH03","SEPT3_HUMAN","SEPTIN3","Q9UH03"
"Q9UNW9","NOVA2_HUMAN","NOVA2","Q9UNW9"
"Q9BXS5;Q9Y6Q5","AP1M1_HUMAN;AP1M2_HUMAN","AP1M1;AP1M2","Q9Y6Q5;Q9BXS5"
"Q92932","PTPR2_HUMAN","PTPRN2","Q92932"
"Q9H2T7;Q9UIA9","RBP17_HUMAN;XPO7_HUMAN","RANBP17;XPO7","Q9UIA9;Q9H2T7"
"P35580;P35749;Q7Z406","MYH10_HUMAN;MYH11_HUMAN;MYH14_HUMAN","MYH10;MYH11;MYH14","P35580;P35749;Q7Z406"
"Q969S8","HDA10_HUMAN","HDAC10","Q969S8"
"Q2V2M9","FHOD3_HUMAN","FHOD3","Q2V2M9"
"Q8IYK2","CC105_HUMAN","CCDC105","Q8IYK2"
"O15056","SYNJ2_HUMAN","SYNJ2","O15056"
"Q8NGU9","GP150_HUMAN","GPR150","Q8NGU9"
"P02812","PRB2_HUMAN","PRB2","P02812"
"O14686","KMT2D_HUMAN","KMT2D","O14686"
"Q7L4E1","MIGA2_HUMAN","MIGA2","Q7L4E1"
"P35443;P49746;P49747","COMP_HUMAN;TSP3_HUMAN;TSP4_HUMAN","COMP;THBS3;THBS4","P49746;P35443;P49747"
"Q1CR51","EFTS_HELPH","tsf","B5Z9I6;Q9ZJ71;P55975;B6JP47;Q1CR51"
"Q9Y2W3","S45A1_HUMAN","SLC45A1","Q9Y2W3"
"B6JL98","HSLU_HELP2","hslU","B6JL98;Q1CU15;O25254;B5Z6N9;B2UTX2;Q9ZLW1"
"Q8NFC6","BD1L1_HUMAN","BOD1L1","Q8NFC6"
"Q96KR7","PHAR3_HUMAN","PHACTR3","Q96KR7"
"Q9BXT4","TDRD1_HUMAN","TDRD1","Q9BXT4"
"Q13283;Q9UN86","G3BP1_HUMAN;G3BP2_HUMAN","G3BP1;G3BP2","Q9UN86;Q13283"
"Q6ZVF9","GRIN3_HUMAN","GPRIN3","Q6ZVF9"
"Q5FVE4","ACBG2_HUMAN","ACSBG2","Q5FVE4"
"P68366;Q9BQE3;Q9H853;Q9NY65","TBA1C_HUMAN;TBA4A_HUMAN;TBA4B_HUMAN;TBA8_HUMAN","TUBA1C;TUBA4A;TUBA4B;TUBA8","Q71U36;Q9NY65;Q9BQE3;P0DPH7;P68366;P0DPH8;P68363;Q6PEY2;Q9H853"
"P17861","XBP1_HUMAN","XBP1","P17861"
"Q9ULI0","ATD2B_HUMAN","ATAD2B","Q9ULI0"
"Q12959;Q92796","DLG1_HUMAN;DLG3_HUMAN","DLG1;DLG3","Q92796;Q12959;Q15700"
"P85298","RHG08_HUMAN","ARHGAP8","P85298"
"P08603","CFAH_HUMAN","CFH","Q02985;P08603"
"Q6Y288","B3GLT_HUMAN","B3GLCT","Q6Y288"
"D6RIA3","CD054_HUMAN","C4orf54","D6RIA3"
"Q14012;Q8IU85","KCC1A_HUMAN;KCC1D_HUMAN","CAMK1;CAMK1D","Q14012;Q8IU85"
"Q9NRC6","SPTN5_HUMAN","SPTBN5","Q9NRC6"
"Q8WXI9","P66B_HUMAN","GATAD2B","Q8WXI9"
"Q9BX59","TPSNR_HUMAN","TAPBPL","Q9BX59"
"P11171;Q9H4G0","E41L1_HUMAN;EPB41_HUMAN","EPB41;EPB41L1","Q9H4G0;P11171"
"Q5T686","AVPI1_HUMAN","AVPI1","Q5T686"
"P02538;P04259","K2C6A_HUMAN;K2C6B_HUMAN","KRT6A;KRT6B","P04259;P02538"
"P48668","K2C6C_HUMAN","KRT6C","P48668"
"Q8NG31","KNL1_HUMAN","KNL1","Q8NG31"
"Q9H0F6","SHRPN_HUMAN","SHARPIN","Q9H0F6"
"O14734","ACOT8_HUMAN","ACOT8","O14734"
"O75376","NCOR1_HUMAN","NCOR1","O75376"
"O60575","ISK4_HUMAN","SPINK4","O60575"
"Q14568","HS902_HUMAN","HSP90AA2P","Q14568"
"P07900;Q58FG1","HS904_HUMAN;HS90A_HUMAN","HSP90AA1;HSP90AA4P","Q58FG1;P07900"
"P62879;Q9HAV0","GBB2_HUMAN;GBB4_HUMAN","GNB2;GNB4","Q9HAV0;P62879;Q9BRK4"
"Q9NZ52","GGA3_HUMAN","GGA3","Q9NZ52"
"Q01664","TFAP4_HUMAN","TFAP4","Q01664"
"O25758;Q9ZK75","PARB_HELPJ;PARB_HELPY","parB","Q9ZK75;O25758"
"P12757","SKIL_HUMAN","SKIL","P12757"
"Q8N584","TT39C_HUMAN","TTC39C","Q8N584"
"Q5JUK3","KCNT1_HUMAN","KCNT1","Q5JUK3"
"P56524","HDAC4_HUMAN","HDAC4","P56524"
"Q03403","TFF2_HUMAN","TFF2","Q03403"
"P48454","PP2BC_HUMAN","PPP3CC","P48454"
"Q9HCS2","CP4FC_HUMAN","CYP4F12","Q9HCS2;P78329;Q08477;Q9HBI6;P98187"
"P68133","ACTS_HUMAN","ACTA1","P62736;P68133;P68032"
"A5A3E0;P0CG38;P0CG39;Q9BYX7","ACTBM_HUMAN;POTEF_HUMAN;POTEI_HUMAN;POTEJ_HUMAN","POTEF;POTEI;POTEJ;POTEKP","P60709;P0CG38;Q6S8J3;P63261;Q9BYX7;P0CG39;A5A3E0"
"Q12788","TBL3_HUMAN","TBL3","Q12788"
"O95178","NDUB2_HUMAN","NDUFB2","O95178"
"P16410","CTLA4_HUMAN","CTLA4","P16410"
"P14091","CATE_HUMAN","CTSE","P14091"
"P16591","FER_HUMAN","FER","P16591"
"O14717","TRDMT_HUMAN","TRDMT1","O14717"
"P11166","GTR1_HUMAN","SLC2A1","P11166"
"Q86UL3","GPAT4_HUMAN","GPAT4","Q86UL3"
"Q96HA7","TONSL_HUMAN","TONSL","Q96HA7"
"O60493;Q9UMY4","SNX12_HUMAN;SNX3_HUMAN","SNX12;SNX3","Q9UMY4;O60493"
"Q9H857","NT5D2_HUMAN","NT5DC2","Q9H857"
"O43819","SCO2_HUMAN","SCO2","O43819"
"Q9BY89","K1671_HUMAN","KIAA1671","Q9BY89"
"P14598","NCF1_HUMAN","NCF1","P14598"
"P19012","K1C15_HUMAN","KRT15","P19012;Q99456"
"Q96H79","ZCCHL_HUMAN","ZC3HAV1L","Q96H79"
"P63165","SUMO1_HUMAN","SUMO1","P63165"
"O76070","SYUG_HUMAN","SNCG","Q16143;O76070"
"Q8N807","PDILT_HUMAN","PDILT","Q8N807"
"Q16769","QPCT_HUMAN","QPCT","Q16769"
"P57721","PCBP3_HUMAN","PCBP3","P57721"
"O94776;Q13330;Q9BTC8","MTA1_HUMAN;MTA2_HUMAN;MTA3_HUMAN","MTA1;MTA2;MTA3","Q13330;Q9BTC8;O94776"
"Q53HL2","BOREA_HUMAN","CDCA8","Q53HL2"
"Q9Y508","RN114_HUMAN","RNF114","Q9Y508"
"Q9H853","TBA4B_HUMAN","TUBA4B","Q9H853"
"Q14194;Q16555","DPYL1_HUMAN;DPYL2_HUMAN","CRMP1;DPYSL2","Q14194;Q16555"
"Q04724;Q04727","TLE1_HUMAN;TLE4_HUMAN","TLE1;TLE4","Q04727;Q04724"
"P60510;P62714;P67775","PP2AA_HUMAN;PP2AB_HUMAN;PP4C_HUMAN","PPP2CA;PPP2CB;PPP4C","P60510;P62714;P67775"
"P32119;Q06830","PRDX1_HUMAN;PRDX2_HUMAN","PRDX1;PRDX2","Q06830;P32119"
"P21281","VATB2_HUMAN","ATP6V1B2","P15313;P21281"
"Q8NCX0","CC150_HUMAN","CCDC150","Q8NCX0"
"Q16611","BAK_HUMAN","BAK1","Q16611"
"Q17R89;Q68EM7","RHG17_HUMAN;RHG44_HUMAN","ARHGAP17;ARHGAP44","Q68EM7;Q17R89"
"Q9Y3L3","3BP1_HUMAN","SH3BP1","Q9Y3L3"
"Q15386","UBE3C_HUMAN","UBE3C","Q15386"
"P02538;P13647;P48668","K2C5_HUMAN;K2C6A_HUMAN;K2C6C_HUMAN","KRT5;KRT6A;KRT6C","P13647;P48668;P02538"
"Q9ULJ1","ODF2L_HUMAN","ODF2L","Q9ULJ1"
"Q5T5S1","CC183_HUMAN","CCDC183","Q5T5S1"
"Q92828;Q9UQN3","CHM2B_HUMAN;COR2A_HUMAN","CHMP2B;CORO2A","Q92828;Q9UQN3"
"P68366","TBA4A_HUMAN","TUBA4A","Q71U36;Q9NY65;Q9BQE3;P0DPH7;P68366;P0DPH8;P68363"
"Q6ICL3","TNG2_HUMAN","TANGO2","Q6ICL3"
"Q8IU81","I2BP1_HUMAN","IRF2BP1","Q8IU81"
"Q9ULX7","CAH14_HUMAN","CA14","Q9ULX7"
"Q86WB0","NIPA_HUMAN","ZC3HC1","Q86WB0"
"Q9UKN8","TF3C4_HUMAN","GTF3C4","Q9UKN8"
"Q9BZF3","OSBL6_HUMAN","OSBPL6","Q9BZF3"
"Q07866;Q6P597;Q9NSK0","KLC1_HUMAN;KLC3_HUMAN;KLC4_HUMAN","KLC1;KLC3;KLC4","Q07866;Q6P597;Q9NSK0"
"Q7L3T8","SYPM_HUMAN","PARS2","Q7L3T8"
"P56211","ARP19_HUMAN","ARPP19","P56211"
"Q8N4C6","NIN_HUMAN","NIN","Q8N4C6"
"O15438;O15439;P33527","MRP1_HUMAN;MRP3_HUMAN;MRP4_HUMAN","ABCC1;ABCC3;ABCC4","O15438;P33527;O15439"
"Q14532","K1H2_HUMAN","KRT32","O76013;Q14532"
"O75369;P21333","FLNA_HUMAN;FLNB_HUMAN","FLNA;FLNB","O75369;P21333"
"P62847","RS24_HUMAN","RPS24","P62847"
"P02538;P04259;P13647;P48668","K2C5_HUMAN;K2C6A_HUMAN;K2C6B_HUMAN;K2C6C_HUMAN","KRT5;KRT6A;KRT6B;KRT6C","P13647;P04259;P48668;P02538"
"P62891;Q59GN2","R39L5_HUMAN;RL39_HUMAN","RPL39;RPL39P5","Q59GN2;P62891"
"P22528;P35321","SPR1A_HUMAN;SPR1B_HUMAN","SPRR1A;SPRR1B","P35321;P22528"
"P22532;P35326","SPR2A_HUMAN;SPR2D_HUMAN","SPRR2A;SPRR2D","Q9BYE4;P22532;P35326;P22531;P35325"
"P22528","SPR1B_HUMAN","SPRR1B","P22528"
"P35321","SPR1A_HUMAN","SPRR1A","P35321"
"Q05996","ZP2_HUMAN","ZP2","Q05996"
"P55081","MFAP1_HUMAN","MFAP1","P55081"
"P42226;P51692","STA5B_HUMAN;STAT6_HUMAN","STAT5B;STAT6","P42226;P51692;P42229"
"Q92793","CBP_HUMAN","CREBBP","Q92793;Q09472"
"Q9Y426","C2CD2_HUMAN","C2CD2","Q9Y426"
"P00338;P07195","LDHA_HUMAN;LDHB_HUMAN","LDHA;LDHB","P07195;P00338"
"O75420","GGYF1_HUMAN","GIGYF1","O75420"
"Q96EY4","TMA16_HUMAN","TMA16","Q96EY4"
"Q96S79","RSLAB_HUMAN","RASL10B","Q96S79"
"Q9NZR1","TMOD2_HUMAN","TMOD2","Q9NZR1"
"Q96F15","GIMA5_HUMAN","GIMAP5","Q96F15"
"Q9UNL2","SSRG_HUMAN","SSR3","Q9UNL2"
"P35580;Q7Z406","MYH10_HUMAN;MYH14_HUMAN","MYH10;MYH14","P35580;Q7Z406"
"Q01523","DEF5_HUMAN","DEFA5","Q01523"
"A0M8Q6;B9A064;P0CF74","IGLC6_HUMAN;IGLC7_HUMAN;IGLL5_HUMAN","IGLC6;IGLC7;IGLL5","P0DOY3;P0CG04;B9A064;P0CF74;A0M8Q6;P0DOY2"
"P01906","DQA2_HUMAN","HLA-DQA2","P01906"
"P13645;P13646;Q2M2I5","K1C10_HUMAN;K1C13_HUMAN;K1C24_HUMAN","KRT10;KRT13;KRT24","P13646;Q2M2I5;P13645"
"P13645;P13646","K1C10_HUMAN;K1C13_HUMAN","KRT10;KRT13","P13646;P13645"
"P0DP75","M14OS_HUMAN","MED14OS","P0DP75"
"Q8TD16;Q96G01","BICD1_HUMAN;BICD2_HUMAN","BICD1;BICD2","Q8TD16;Q96G01"
"P35443;P49746","TSP3_HUMAN;TSP4_HUMAN","THBS3;THBS4","P49746;P35443"
"P35443","TSP4_HUMAN","THBS4","P49746;P35443"
"P31483;Q01085","TIA1_HUMAN;TIAR_HUMAN","TIA1;TIAL1","Q01085;P31483"
"Q9NYC9;Q9UFH2","DYH17_HUMAN;DYH9_HUMAN","DNAH17;DNAH9","Q9NYC9;Q9UFH2"
"Q15021","CND1_HUMAN","NCAPD2","Q15021"
"Q6AWC2","WWC2_HUMAN","WWC2","Q6AWC2"
"Q6PJT7","ZC3HE_HUMAN","ZC3H14","Q6PJT7"
"Q2M2I5","K1C24_HUMAN","KRT24","Q2M2I5"
"P78549","NTH_HUMAN","NTHL1","P78549"
"Q9P013","CWC15_HUMAN","CWC15","Q9P013"
"P62877","RBX1_HUMAN","RBX1","P62877"
"Q8IYM0","F186B_HUMAN","FAM186B","Q8IYM0"
"P08134;P61586;P62745","RHOA_HUMAN;RHOB_HUMAN;RHOC_HUMAN","RHOA;RHOB;RHOC","P61586;P62745;P08134"
"O43488;O95154;Q8NHP1","ARK72_HUMAN;ARK73_HUMAN;ARK74_HUMAN","AKR7A2;AKR7A3;AKR7L","O43488;Q8NHP1;O95154"
"Q96G23","CERS2_HUMAN","CERS2","Q96G23"
"O60814;P58876;P62807;Q5QNW6;Q8N257;Q93079;Q99877;Q99879","H2B1C_HUMAN;H2B1D_HUMAN;H2B1H_HUMAN;H2B1K_HUMAN;H2B1M_HUMAN;H2B1N_HUMAN;H2B2F_HUMAN;H2B3B_HUMAN","H2BC10;H2BC12;H2BC14;H2BC15;H2BC18;H2BC5;H2BC9;H2BU1","P23527;P33778;Q8N257;P62807;Q99877;O60814;Q16778;Q99880;Q93079;P57053;Q5QNW6;Q96A08;P06899;P58876;Q99879"
"Q8NI35","INADL_HUMAN","PATJ","Q8NI35"
"O26106","Y1587_HELPY","HP_1587","O26106"
"Q9ULN7","PNM8B_HUMAN","PNMA8B","Q9ULN7"
"A2RTX5","SYTC2_HUMAN","TARS3","A2RTX5"
"P20340","RAB6A_HUMAN","RAB6A","P20340;Q53S08"
"P23634","AT2B4_HUMAN","ATP2B4","Q16720;P23634;P20020;Q01814"
"Q96L92","SNX27_HUMAN","SNX27","Q96L92;O60759"
"Q8TB96","TIP_HUMAN","ITFG1","Q8TB96"
"Q99720","SGMR1_HUMAN","SIGMAR1","Q99720"
"Q969M3","YIPF5_HUMAN","YIPF5","Q969M3"
"P01717","LV325_HUMAN","IGLV3-25","P01717"
"Q9UPX6","MNAR1_HUMAN","MINAR1","Q9UPX6"
"P0DN76;Q01081;Q8WU68","U2AF1_HUMAN;U2AF4_HUMAN;U2AF5_HUMAN","U2AF1;U2AF1L4;U2AF1L5","Q8WU68;Q01081;P0DN76"
"P0DJD7;P0DJD8;P0DJD9","PEPA3_HUMAN;PEPA4_HUMAN;PEPA5_HUMAN","PGA3;PGA4;PGA5","P0DJD8;P0DJD9;P0DJD7"
"Q6NZY4","ZCHC8_HUMAN","ZCCHC8","Q6NZY4"
"Q5T0F9;Q6P1N0","C2D1A_HUMAN;C2D1B_HUMAN","CC2D1A;CC2D1B","Q5T0F9;Q6P1N0"
"Q96D71","REPS1_HUMAN","REPS1","Q96D71"
"Q8WXA2","PATE1_HUMAN","PATE1","Q8WXA2"
"Q92597;Q9UGV2","NDRG1_HUMAN;NDRG3_HUMAN","NDRG1;NDRG3","Q92597;Q9UGV2"
"Q15349;Q15418","KS6A1_HUMAN;KS6A2_HUMAN","RPS6KA1;RPS6KA2","Q15349;Q15418"
"P62979","RS27A_HUMAN","RPS27A","P62979"
"Q969E4","TCAL3_HUMAN","TCEAL3","Q969E4"
"Q8WVM7","STAG1_HUMAN","STAG1","Q8WVM7"
"O00559","RCAS1_HUMAN","EBAG9","O00559"
"Q00577;Q96QR8","PURA_HUMAN;PURB_HUMAN","PURA;PURB","Q96QR8;Q00577;Q9UJV8"
"Q9ULM0","PKHH1_HUMAN","PLEKHH1","Q9ULM0"
"P14859","PO2F1_HUMAN","POU2F1","P14859"
"P12882;Q9UKX2","MYH1_HUMAN;MYH2_HUMAN","MYH1;MYH2","Q9UKX2;P12882"
"Q03936","ZNF92_HUMAN","ZNF92","Q03936"
"Q9BTZ2","DHRS4_HUMAN","DHRS4","Q9BTZ2"
"O94762","RECQ5_HUMAN","RECQL5","O94762"
"O95819;Q9NRD5","M4K4_HUMAN;PICK1_HUMAN","MAP4K4;PICK1","Q9NRD5;O95819"
"Q5CZC0","FSIP2_HUMAN","FSIP2","Q5CZC0"
"P37837","TALDO_HUMAN","TALDO1","P37837;B2UUS4"
"Q16585","SGCB_HUMAN","SGCB","Q16585"
"P58215","LOXL3_HUMAN","LOXL3","P58215"
"Q9NX14","NDUBB_HUMAN","NDUFB11","Q9NX14"
"A0A075B6K4;P01715","LV301_HUMAN;LV310_HUMAN","IGLV3-1;IGLV3-10","P01715;A0A075B6K4"
"P01706;P01709","LV208_HUMAN;LV211_HUMAN","IGLV2-11;IGLV2-8","P01706;P01709"
"P68366","TBA4A_HUMAN","TUBA4A","P68366;P68363"
"P02538;P04259;P12035;P48668","K2C3_HUMAN;K2C6A_HUMAN;K2C6B_HUMAN;K2C6C_HUMAN","KRT3;KRT6A;KRT6B;KRT6C","P12035;P04259;P48668;P02538"
"Q14CN4","K2C72_HUMAN","KRT72","Q14CN4"
"Q6PEY2;Q9BQE3;Q9NY65","TBA1C_HUMAN;TBA3E_HUMAN;TBA8_HUMAN","TUBA1C;TUBA3E;TUBA8","Q71U36;Q9NY65;Q9BQE3;P0DPH7;P0DPH8;Q6PEY2"
"P08727;P13646","K1C13_HUMAN;K1C19_HUMAN","KRT13;KRT19","P13646;P08727"
"A6NHQ2","FBLL1_HUMAN","FBLL1","A6NHQ2"
"A6NNP5","CC169_HUMAN","CCDC169","A6NNP5"
"P14649","MYL6B_HUMAN","MYL6B","P14649"
"O76076","CCN5_HUMAN","CCN5","O76076"
"P02533;P08727;P08779;P19012;Q04695","K1C14_HUMAN;K1C15_HUMAN;K1C16_HUMAN;K1C17_HUMAN;K1C19_HUMAN","KRT14;KRT15;KRT16;KRT17;KRT19","P08727;P19012;P08779;P02533;Q04695"
"Q00537","CDK17_HUMAN","CDK17","Q00537"
"O94788;P00352;P05091;P30837;P47895","AL1A1_HUMAN;AL1A2_HUMAN;AL1A3_HUMAN;AL1B1_HUMAN;ALDH2_HUMAN","ALDH1A1;ALDH1A2;ALDH1A3;ALDH1B1;ALDH2","P00352;P47895;O94788;P30837;P05091"
"Q92982","NINJ1_HUMAN","NINJ1","Q92982"
"Q92733","PRCC_HUMAN","PRCC","Q92733"
"Q9ZMN5","METK_HELPJ","metK","Q1CUW4;Q9ZMN5"
"Q9BXJ5","C1QT2_HUMAN","C1QTNF2","Q9BXJ5"
"Q8N2C7","UNC80_HUMAN","UNC80","Q8N2C7"
"Q9UJ68","MSRA_HUMAN","MSRA","Q9UJ68"
"O60870","KIN17_HUMAN","KIN","O60870"
"Q86YH6","DLP1_HUMAN","PDSS2","Q86YH6"
"Q96SW2","CRBN_HUMAN","CRBN","Q96SW2"
"Q86TI0","TBCD1_HUMAN","TBC1D1","Q86TI0"
"A6NDK9;A6NDN3;A7E2F4;A8MQT2;P0CG33;Q9NYA3","GOG6A_HUMAN;GOG6B_HUMAN;GOG6C_HUMAN;GOG6D_HUMAN;GOG8A_HUMAN;GOG8B_HUMAN","GOLGA6A;GOLGA6B;GOLGA6C;GOLGA6D;GOLGA8A;GOLGA8B","A7E2F4;Q9NYA3;A6NC78;A8MQT2;A6NDN3;A6NDK9;P0CG33"
"Q6ZSZ5","ARHGI_HUMAN","ARHGEF18","A0A590UK10;Q6ZSZ5"
"P61278","SMS_HUMAN","SST","P61278"
"Q8NI36","WDR36_HUMAN","WDR36","Q8NI36"
"P84243","H33_HUMAN","H3-3B","P84243"
"Q8TAD2","IL17D_HUMAN","IL17D","Q8TAD2"
"O95644","NFAC1_HUMAN","NFATC1","O95644"
"Q9BWW4","SSBP3_HUMAN","SSBP3","P81877;Q9BWW4;Q9BWG4"
"Q6P9H5;Q9NUV9","GIMA4_HUMAN;GIMA6_HUMAN","GIMAP4;GIMAP6","Q9NUV9;Q6P9H5"
"P03070;P03070-2;P03081","LT_SV40;ST_SV40","","P03070;P03070-2;P03081"
"P80294","MT1H_HUMAN","MT1H","P0DM35;P80294"
"P04733","MT1F_HUMAN","MT1F","P04733"
"P53611","PGTB2_HUMAN","RABGGTB","P53611"
"A0A0C4DH31;P23083","HV102_HUMAN;HV118_HUMAN","IGHV1-18;IGHV1-2","A0A0C4DH31;P23083"
"Q8ND24","RN214_HUMAN","RNF214","Q8ND24"
"P09871","C1S_HUMAN","C1S","P48740;P09871"
"P13688;P40199","CEAM1_HUMAN;CEAM6_HUMAN","CEACAM1;CEACAM6","P40199;P13688"
"Q32MH5","F214A_HUMAN","FAM214A","Q32MH5"
"P52298","NCBP2_HUMAN","NCBP2","P52298"
"P03099","VL1_HPV1","L1","P03099"
"P10632;P33260","CP2C8_HUMAN;CP2CI_HUMAN","CYP2C18;CYP2C8","P10632;P33260"
"Q99958","FOXC2_HUMAN","FOXC2","Q99958"
"A0A0B4J2H0;A0A0C4DH29;P01742;P01743;P0DP01","HV103_HUMAN;HV108_HUMAN;HV146_HUMAN;HV169_HUMAN;HV69D_HUMAN","IGHV1-3;IGHV1-46;IGHV1-69;IGHV1-69D;IGHV1-8","P01742;P01743;A0A0B4J2H0;A0A0C4DH29;P0DP01"
"Q9H2V7","SPNS1_HUMAN","SPNS1","Q9H2V7"
"P27216;P50995","ANX11_HUMAN;ANX13_HUMAN","ANXA11;ANXA13","P27216;P50995"
"Q6VMQ6","MCAF1_HUMAN","ATF7IP","Q6VMQ6"
"Q9ULE4","F184B_HUMAN","FAM184B","Q9ULE4"
"Q9Y4H4","GPSM3_HUMAN","GPSM3","Q9Y4H4"
"Q9BYF1","ACE2_HUMAN","ACE2","Q9BYF1"
"Q9H0B6;Q9NSK0","KLC2_HUMAN;KLC4_HUMAN","KLC2;KLC4","Q9H0B6;Q9NSK0"
"A0A024RBG1;Q9NZJ9","NUD4B_HUMAN;NUDT4_HUMAN","NUDT4;NUDT4B","Q9NZJ9;A0A024RBG1"
"P09651","ROA1_HUMAN","HNRNPA1","P09651"
"P08727;Q99456","K1C12_HUMAN;K1C19_HUMAN","KRT12;KRT19","P08727;Q99456"
"Q9BTE1","DCTN5_HUMAN","DCTN5","Q9BTE1"
"Q8TAG6","VEXIN_HUMAN","VXN","Q8TAG6"
"P01111","RASN_HUMAN","NRAS","P01111"
"Q9H8W4","PKHF2_HUMAN","PLEKHF2","Q9H8W4"
"Q6ZS30","NBEL1_HUMAN","NBEAL1","Q6ZS30"
